source,target
/cli,https://app.bitrise.io/cli
/swift,/
/users/sign_up,https://app.bitrise.io/users/sign_up
/customer-success-stories-g,/customer-stories
/why-features-continuous-integration,/platform/bitrise-ci
/features/workflow-editor/run-the-same-config-locally,/platform/devops/steps-and-workflows
/features/workflow-editor,/platform/devops/steps-and-workflows
/mobile-devops,/platform/mobile-devops
/features/workflow-editor/define-what-to-build-when-with-triggers,/platform/devops/steps-and-workflows
/security-policy,/platform/devops/security
/pricing/teams,/pricing
/community/advocacy-program,/
/features/workflow-editor/open-source,/platform/devops/steps-and-workflows
/features/cross-platform-features/project-scanner,/platform/mobile-devops
/cookie_policy,/cookie-policy
/security_policy,/platform/devops/security
/features/cross-platform-features/effortless-code-signing,/platform/mobile-devops
/why/audience/mobile-finance-and-banking-webinar-on-demand,https://yo.bitrise.io/mobile-finance-and-banking-webinar-2020-registration.html
/dummy-home,/dummy-autopilot
/features/enterprise-build-platform,/platform/devops/build-platform
/jobs/jobs,/careers
/features/ios-features,/solutions/technologies/ios
/why/audience/fintech-mobile-disruption-webinar-on-demand-watch,/webinar/mobile-finance-and-banking-webinar-2020-video
/why/industries/finance-and-banking,/why/industries/finance-banking
/community/bitrise-advocacy-program,/
/pricing-page-new,/pricing
/features/workflow-editor/chain-workflows-together,/platform/devops/steps-and-workflows
/presskit/jobs,/press/kit
/continuous-integration,/platform/bitrise-ci
/security,/platform/devops/security
/features/jobs,/careers
/customer-stories/fammbytimers,/customer-stories
/privacy-policy,/legal
/pricing-page,/pricing
/pricing/enterprises,/pricing
/integrations/jobs/jobs,/integrations
/downloads/mobile-ci-after-jenkins-6-lessons-learned-b,https://yo.bitrise.io/mobile-ci-after-jenkins
/pricing-old-2,/pricing
/book-a-demo-success-new,/book-demo-succes
/careers/customer-success,/careers/customer-experience
/downloads/mobile-finance-and-banking-webinar-on-demand,https://yo.bitrise.io/mobile-finance-and-banking-webinar-2020-registration.html
/community/ama-2-by-bitrise,/archive/ama-2-by-bitrise
/community/turning-your-real-world-app-into-an-app-clip,https://yo.bitrise.io/turning-your-real-world-app-into-an-app-clip-registration.html
/career,/careers
/downloads/mobile-finance-and-banking-webinar-2020-video,/webinar/mobile-finance-and-banking-webinar-2020-video
/bitrise-user-group-6,/webinar/bitrise-user-group-6
/community/bitrise-user-group-6,/webinar/bitrise-user-group-6
/community/the-state-of-swift-webinar-on-demand,https://yo.bitrise.io/the-state-of-swift-webinar-on-demand-registration.html
/about-us,/about
/jobs,/careers
/webinar/ama-2-by-bitrise,/archive/ama-2-by-bitrise
/downloads/mobile-ci-after-jenkins-6-lessons-learned,https://yo.bitrise.io/mobile-ci-after-jenkins
/community/the-state-of-swift-webinar-on-demand-video,/webinar/the-state-of-swift-webinar-on-demand-video
/why/migrate-from-jenkins-to-bitrise,/why/bitrise-vs-jenkins
/book-a-demo-new,/demo
/careers/design,/careers/design-ux
/downloads/fintech-mobile-disruption-webinar-on-demand-watch,/webinar/mobile-finance-and-banking-webinar-2020-video
/webinar/swift-japan-video,/webinar/swift-japan-2020-video
/community/zoom-post-attendee-page,/
/downloads/mobile-finance-and-banking-webinar-2020,https://yo.bitrise.io/mobile-finance-and-banking-webinar-2020-registration.html
/add-ons/zoom-post-attendee-page,/
/community/migrate-from-jenkins-to-bitrise,/why/bitrise-vs-jenkins
/contact-sales,/contact
/downloads/5-benefits-switching-from-jenkins-report,https://yo.bitrise.io/5-benefits-switching-from-jenkins-report-thankyou.html
/bitrise-plans-and-pricing-2021-july,/pricing
/pricing-depricated,/pricing-deprecated
/book-demo-success-new,/book-demo-succes
/plans-and-pricing-2-0,/pricing
/downloads/mobile-finance-and-banking-report-2020-pdf,/thank-you/mobile-finance-and-banking-report-2020-pdf
/downloads/top-5-myths-jenkins-mobile-development,/thank-you/top-5-myths-jenkins-mobile-development
/downloads/scaling-mobile-apps-ebook-pdf,/thank-you/scaling-mobile-apps-ebook-pdf
/terms,/legal
/downloads/mobile-engineering-efficiency-gen2-pdf,https://yo.bitrise.io/gen2-velocity-benchmark-report-en-thankyou.html
/bitrise-plans-and-pricing,/pricing
/contact-us,/contact
/release-train,https://yo.bitrise.io/release-train-download.html
/privacy,/legal
/downloads/mobile-release-trains-japan-report,https://yo.bitrise.io/release-train-jp-thankyou.html
/release-train-report,https://yo.bitrise.io/mobile-release-trains-report-thankyou.html
/downloads/scaling-mobile-apps-ebook-2,https://www.bitrise.io/learn/whitepapers
/webinar/zoom-post-attendee-page,/
/downloads/mobile-ci-after-jenkins-pdf,https://yo.bitrise.io/mobile-ci-after-jenkins-thankyou.html
/webinar/scaling-ci-case-study-webinar-tracking-tinders-build-metrics,/webinar/case-study-webinar-tracking-ci-build-metrics
/webinar/wwdc2021-recap-panel-discussionn,https://blog.bitrise.io/post/wwdc-2021-highlights-lets-recap
/why/features/steps-and-workflows-2,/platform/devops/steps-and-workflows
/downloads/5-main-benefits-switching-from-jenkins-report,https://yo.bitrise.io/5-benefits-switching-from-jenkins-report-thankyou.html
/downloads/5-benefits-switching-from-jenkins-b,https://yo.bitrise.io/5-benefits-switching-from-jenkins-report-download.html
/bitrise-plans-and-pricing-210811,/pricing
/covid-19-support,/
/book-demo-new,/demo
/downloads/de-mobile-finance-and-banking-report-pdf,/thank-you/mobile-finance-and-banking-report-de-pdf
/donwloads/zoom-post-attendee-page,/
/downloads/mobile-ci-after-jenkins-6-lessons-jp-report,https://yo.bitrise.io/mobile-ci-after-jenkins-6-lessons-jp-thankyou.html
/downloads/code-freezes-in-mobile-shopping-whitepaper,https://yo.bitrise.io/code-freezes-in-mobile-shopping-thankyou.html
/downloads/mobile-finance-and-banking-report-de-pdf,/thank-you/mobile-finance-and-banking-report-de-pdf
/downloads/5-benefits-switching-from-jenkins,https://yo.bitrise.io/5-benefits-switching-from-jenkins-report-download.html
/webinar/mobile-finance-and-banking-webinar-2020,https://yo.bitrise.io/mobile-finance-and-banking-webinar-2020-registration.html
/webinar/jenkins-to-bitrise-with-recruit,https://yo.bitrise.io/jenkins-to-bitrise-with-recruit-jp-registration.html
/bitrise-support,https://support.bitrise.io/hc/en-us/requests
/add-ons/trace-mobile-monitoring,/
/thank-you/mobile-engineering-efficiency-gen2-pdf,https://yo.bitrise.io/gen2-velocity-benchmark-report-en-thankyou.html
/downloads/mobile-release-trains-japan,https://yo.bitrise.io/mobile-release-trains-jp-download.html
/downloads/gen2-report-japan,https://yo.bitrise.io/mobile-engineering-efficiency-gen2-report-jp-download.html
/webinar/scaling-with-flutter-case-studies-with-tonal-and-signify,https://yo.bitrise.io/scaling-with-flutter-case-studies-with-tonal-and-signify-registration.html
/downloads/scaling-mobile-apps-ebook,https://www.bitrise.io/learn/whitepapers
/webinar/the-state-of-swift-webinar-on-demand,https://yo.bitrise.io/the-state-of-swift-webinar-on-demand-registration.html
/careers/product,/careers/product-management
/webinar/turning-your-real-world-app-into-an-app-clip,https://yo.bitrise.io/turning-your-real-world-app-into-an-app-clip-registration.html
/downloads/mobile-ci-after-jenkins-6-lessons-jp,https://yo.bitrise.io/mobile-ci-after-jenkins-6-lessons-jp-download.html
/webinar/swift-japan-2020,https://yo.bitrise.io/swift-2020-jp-registration.html
/downloads/the-state-of-mobile-shopping-apps-in-2021,https://yo.bitrise.io/mobile-product-success-in-shopping-report-2021-download.html
/webinar/the-state-of-flutter-japan,https://yo.bitrise.io/the-state-of-flutter-jp-registration.html
/downloads/code-freezes-in-mobile-shopping,https://yo.bitrise.io/code-freezes-in-mobile-shopping-download.html
/downloads/release-train,https://yo.bitrise.io/release-train-download.html
/careers/data,/careers/it-systems
/webinar/wwdc2021-recap-panel-discussion,https://blog.bitrise.io/post/wwdc-2021-highlights-lets-recap
/add-ons/build-insights,/build-insights
/downloads/japan-mobile-product-success-in-finance-report-2022,https://yo.bitrise.io/mobile-product-success-in-finance-report-2022-jp-download.html
/webinar/the-state-of-flutter-development-in-2020-webinar,https://yo.bitrise.io/the-state-of-flutter-development-in-2020-registration.html
